,year,month,day,hour,nltk Sentiment,emoji senitment,sentiment,open,high,low,close,volume,return
252,2020,12,19,0,-0.02514285714285714,0.023809523809523808,-0.09523809523809523,,,,,,
253,2020,12,19,1,0.028441860465116275,0.11627906976744186,0.23255813953488372,,,,,,
254,2020,12,19,2,0.13548285714285718,0.0,0.3142857142857143,,,,,,
255,2020,12,19,3,0.03816538461538464,0.038461538461538464,0.15384615384615385,,,,,,
256,2020,12,19,4,0.20725333333333332,0.06666666666666667,0.3333333333333333,,,,,,
257,2020,12,19,5,0.07319583333333335,0.041666666666666664,0.3333333333333333,,,,,,
258,2020,12,19,6,0.14699374999999998,0.0,0.3125,,,,,,
259,2020,12,19,7,0.15677142857142856,0.0,0.35714285714285715,,,,,,
260,2020,12,19,8,0.18536000000000002,0.0,0.26666666666666666,,,,,,
261,2020,12,19,9,-0.11915,0.0,-0.25,,,,,,
262,2020,12,19,10,-0.05846,0.0,0.0,,,,,,
263,2020,12,19,11,0.34618000000000004,0.2,0.8,,,,,,
264,2020,12,19,12,-0.021400000000000013,0.0,0.0,,,,,,
265,2020,12,19,13,0.027575000000000002,0.0,0.25,,,,,,
266,2020,12,19,14,-0.26089999999999997,0.3333333333333333,0.0,,,,,,
267,2020,12,19,15,0.2333,0.0,1.0,,,,,,
268,2020,12,19,16,0.03608,0.0,0.0,,,,,,
269,2020,12,19,17,-0.03093999999999999,0.0,0.0,,,,,,
270,2020,12,19,18,0.045822727272727265,0.0,0.13636363636363635,,,,,,
271,2020,12,19,19,0.30793333333333334,0.16666666666666666,0.6666666666666666,,,,,,
272,2020,12,19,20,0.3216,-0.16666666666666666,0.16666666666666666,,,,,,
273,2020,12,19,21,0.0,0.14285714285714285,0.14285714285714285,,,,,,
274,2020,12,19,22,0.30360000000000004,0.0,0.6666666666666666,,,,,,
275,2020,12,19,23,0.37704444444444446,0.1111111111111111,0.6666666666666666,,,,,,
276,2020,12,20,0,0.4406,0.0,0.75,,,,,,
277,2020,12,20,1,0.3347166666666666,0.3333333333333333,0.6666666666666666,,,,,,
278,2020,12,20,2,0.149625,0.0,0.25,,,,,,
279,2020,12,20,3,0.2905,0.0,0.3333333333333333,,,,,,
280,2020,12,20,4,-0.041899999999999986,0.2857142857142857,0.14285714285714285,,,,,,
281,2020,12,20,5,-0.27004,0.0,-0.4,,,,,,
282,2020,12,20,7,0.9325,0.0,1.0,,,,,,
283,2020,12,20,8,0.14776,0.2,0.2,,,,,,
284,2020,12,20,10,-0.007000000000000006,0.0,0.0,,,,,,
285,2020,12,20,11,0.10520000000000003,0.0,0.3333333333333333,,,,,,
286,2020,12,20,12,-0.2846,0.0,-1.0,,,,,,
287,2020,12,20,13,-0.065425,0.25,0.0,,,,,,
288,2020,12,20,14,-0.1862666666666667,0.0,0.0,,,,,,
289,2020,12,20,15,0.24503333333333333,0.0,0.3333333333333333,,,,,,
290,2020,12,20,16,0.57285,0.0,1.0,,,,,,
291,2020,12,20,17,0.7057666666666668,0.0,1.0,,,,,,
292,2020,12,20,18,0.290725,0.25,0.5,,,,,,
293,2020,12,20,19,0.09184999999999999,0.1,0.3,,,,,,
294,2020,12,20,20,0.03452857142857142,0.047619047619047616,0.14285714285714285,,,,,,
295,2020,12,20,21,-0.005092857142857137,0.21428571428571427,0.21428571428571427,,,,,,
296,2020,12,20,22,0.1360157894736842,0.15789473684210525,0.47368421052631576,,,,,,
297,2020,12,20,23,0.1539608695652174,0.08695652173913043,0.34782608695652173,,,,,,
298,2020,12,21,0,0.13024444444444447,0.1111111111111111,0.4444444444444444,,,,,,
299,2020,12,21,1,-0.17436666666666667,0.16666666666666666,-0.16666666666666666,,,,,,
300,2020,12,21,2,0.01047272727272727,0.09090909090909091,0.18181818181818182,,,,,,
301,2020,12,21,3,0.3699222222222222,0.0,0.4444444444444444,,,,,,
302,2020,12,21,4,0.11703749999999999,0.125,0.375,,,,,,
303,2020,12,21,5,-0.119175,0.25,0.0,15.77,15.77,15.0,15.0,3483.0,0.011463250168577188
307,2020,12,21,6,0.08752,0.0,0.1,15.03,15.05,14.83,14.83,13040.0,-0.030085022890778187
317,2020,12,21,7,0.04105999999999999,0.1,0.2,14.83,15.29,14.83,15.29,6266.0,0.0026229508196720093
327,2020,12,21,8,0.6901,0.0,1.0,15.34,15.57,15.04,15.25,13672.0,-0.0757575757575758
328,2020,12,21,9,0.0666,0.2857142857142857,0.5714285714285714,15.4,17.0,15.1,16.5,229129.0,0.03773584905660377
335,2020,12,21,10,0.0593,0.0,0.3333333333333333,16.49,16.77,15.53,15.9,2687625.0,0.011450381679389388
338,2020,12,21,11,0.4019,0.0,1.0,15.9,15.96,15.63,15.72,1618886.0,0.01747572815533993
339,2020,12,21,12,0.4588,0.0,1.0,15.72,15.8,15.38,15.45,965325.0,0.0006476683937823857
340,2020,12,21,13,0.134975,0.125,0.375,15.42,15.52,15.35,15.44,643571.0,0.0012970168612191912
352,2020,12,21,14,0.037,0.5,0.5,15.44,15.54,15.35,15.42,591047.0,0.002600780234070177
360,2020,12,21,15,0.057538775510204074,0.16326530612244897,0.24489795918367346,15.42,15.46,15.28,15.38,676910.0,-0.009020618556701
454,2020,12,21,16,0.029737931034482752,0.15517241379310345,0.1724137931034483,15.38,15.77,15.33,15.52,2259645.0,-0.01772151898734187
619,2020,12,21,17,0.06145128205128206,0.1282051282051282,0.20512820512820512,15.53,15.8,15.5,15.8,105023.0,0.005728835136855404
657,2020,12,21,18,0.08613548387096777,0.0967741935483871,0.12903225806451613,15.8,15.96,15.7,15.71,38295.0,-0.022401991288114487
765,2020,12,21,19,-0.013930909090909082,0.10909090909090909,0.10909090909090909,15.96,16.15,15.96,16.07,31262.0,0.004375000000000018
820,2020,12,21,20,0.11511190476190476,0.16666666666666666,0.21428571428571427,16.01,16.05,15.93,16.0,21683.0,0.009463722397476282
904,2020,12,21,21,0.15361276595744686,0.10638297872340426,0.425531914893617,,,,,,
905,2020,12,21,22,0.06333170731707316,0.12195121951219512,0.2682926829268293,,,,,,
906,2020,12,21,23,-0.06297045454545455,0.06818181818181818,-0.09090909090909091,,,,,,
907,2020,12,22,0,0.17861666666666667,0.0,0.375,,,,,,
908,2020,12,22,1,0.05453846153846156,0.0,0.07692307692307693,,,,,,
909,2020,12,22,2,0.1237736842105263,0.05263157894736842,0.2631578947368421,,,,,,
910,2020,12,22,3,0.051029999999999985,0.3,0.3,,,,,,
911,2020,12,22,4,0.044053846153846145,0.07692307692307693,0.15384615384615385,,,,,,
912,2020,12,22,5,0.19048181818181817,0.09090909090909091,0.42424242424242425,,,,,,
913,2020,12,22,6,0.11091249999999998,0.125,0.1875,,,,,,
